LID,m_LID,U-B20,B-V20,V-r20,Vmag,Nr,SimbadName,_RA,_DE
6.10060421,,-1.11,-0.22,-0.13,14.37,1,GD 0421,27.79287,67.65869
6.10060423,,0.19,0.68,0.54,9.88,1,GD 0423,33.04076,63.49824
6.10060485,,-0.18,0.46,0.41,13.4,1,GD 0485,196.46261,70.58875
6.10060498,,-0.26,0.47,0.43,13.76,1,GD 0498,219.3136,68.06466
6.10060519,,-0.21,0.49,0.46,13.45,1,GD 0519,254.90114,77.37213
6.10060538,,-0.17,0.48,0.51,11.94,1,GD 0538,294.54741,80.44715
6.10060541,,0.02,0.75,0.62,13.6,1,GD 0541,301.1919,71.32733
6.1006055,,0.11,0.71,0.59,11.91,1,GD 0550,336.45655,64.34276
6.10060553,,0.34,0.8,0.69,11.9,1,GD 0553,342.97089,65.06639
6.10060558,,0.15,0.74,0.63,12.41,1,GD 0558,152.38918,67.93517
6.10060561,,-1.21,-0.25,-0.29,14.53,1,GD 0561,356.25939,80.94992
9.80093048,,-0.72,0.0,-0.16,12.72,1,G 093-048,328.10576,2.38876
9.80226029,,-0.65,0.19,0.01,12.22,1,G 226-029,252.10682,59.05631
9.8023104,,-0.65,0.06,-0.15,12.33,1,G 231-040,319.73445,54.21146
